season,player,position,age,team,games,player_efficiency_rating,points,rebounds,assists,steals,blocks
2017,Jaylen Brown,SF,20,BOS,78,10.3,515,220,64,35,18
2017,Jeff Green,PF,30,ORL,69,10.5,638,214,81,37,13
2017,Jeff Teague,PG,28,IND,82,19.2,1254,331,639,100,32
2017,Jeff Withey,C,26,UTA,51,18.8,146,121,7,16,32
2017,Jerami Grant,SF,22,PHI,2,3.3,16,7,0,0,4
2017,Jerami Grant,SF,22,OKC,78,10.3,421,199,46,33,75
2017,Jeremy Lamb,SG,24,CHO,62,17,603,264,75,27,23
2017,Jeremy Lin,PG,28,BRK,36,19.2,523,135,184,41,14
2017,Jerian Grant,PG,24,CHI,63,13.1,370,111,120,47,8
2017,Jerryd Bayless,PG,28,PHI,3,8.7,33,12,13,0,0
2017,Jimmy Butler,SF,27,CHI,76,25.1,1816,470,417,143,32
2017,Joakim Noah,C,31,NYK,46,15.2,232,402,103,30,37
2017,Jodie Meeks,SG,29,ORL,36,13.1,327,77,45,34,4
2017,Joe Harris,SG,25,BRK,52,9,428,147,54,30,8
2017,Joe Ingles,SF,29,UTA,82,12.4,581,260,224,96,8
2017,Joe Johnson,SF,35,UTA,78,12.8,715,242,144,36,18
2017,Joe Young,PG,24,IND,33,11.4,68,17,15,4,0
2017,Joel Anthony,C,34,SAS,19,11.6,25,31,3,2,6
2017,Joel Bolomboy,PF,23,UTA,12,19.7,22,17,2,1,2
2017,Joel Embiid,C,22,PHI,31,24.1,627,243,66,27,76
2017,Joffrey Lauvergne,PF,25,OKC,50,12.9,286,183,51,18,6
2017,Joffrey Lauvergne,C,25,CHI,20,11.6,89,68,19,7,0
2017,John Henson,C,26,MIL,58,15.3,392,295,57,29,78
2017,John Jenkins,SG,25,PHO,4,17.3,7,1,1,0,0
2017,John Lucas,PG,34,MIN,5,9.1,2,0,1,2,0
2017,John Wall,PG,26,WAS,78,23.2,1805,326,831,157,49
2017,Johnny O'Bryant,PF,23,DEN,7,14.4,20,11,2,0,1
2017,Johnny O'Bryant,PF,23,CHO,4,15.5,18,8,4,0,0
2017,Jon Leuer,PF,27,DET,75,14.2,767,402,111,31,26
